id,methodarea,researcharea
1,"{""2""}","{""1"",""4""}"
2,"{""1""}","{""4""}"
3,"{""1"",""2""}","{""4""}"
4,"{""1"",""2""}",NULL
5,"{""1"",""2"",""4"",""5""}","{""4"",""5"",""7"",""9"",""10""}"
6,"{""1""}","{""1"",""3"",""4""}"
7,"{""1""}","{""1"",""4""}"
8,"{""2"",""4""}","{""2"",""4""}"
9,"{""1""}","{""1"",""4""}"
10,"{""2"",""4""}","{""4""}"
11,"{""1""}","{""1"",""2"",""3"",""4""}"
12,"{""1""}","{""1"",""2"",""3"",""4"",""7""}"
13,"{""1""}","{""1""}"
14,"{""1"",""2"",""4""}","{""4"",""7"",""9""}"
15,"{""1"",""2""}","{""4""}"
16,"{""1"",""3""}","{""3""}"
17,"{""2"",""4""}","{""1"",""4""}"
18,"{""1"",""2"",""3""}","{""1"",""2"",""3"",""4"",""5""}"
19,"{""1""}","{""1"",""4"",""7""}"
20,"{""2""}","{""1"",""3"",""4""}"
21,"{""1""}","{""1"",""4""}"
22,"{""1""}","{""1"",""4"",""7""}"
23,"{""1"",""3"",""4""}","{""1"",""2"",""5"",""7""}"
24,"{""1""}","{""1""}"
25,"{""1""}","{""1""}"
26,"{""2"",""4""}","{""2"",""4""}"
27,"{""1""}","{""1""}"
28,"{""1"",""2"",""3"",""4"",""5""}","{""2""}"
29,"{""1""}","{""1""}"
30,"{""1""}","{""1"",""4"",""5""}"
31,"{""2"",""4""}","{""4""}"
32,"{""1""}","{""1"",""3""}"
33,"{""1""}","{""4"",""5""}"
34,"{""1"",""2""}","{""1"",""4""}"
35,"{""1""}","{""1"",""3""}"
36,"{""1"",""2""}","{""1"",""4""}"
37,"{""1""}","{""1"",""3""}"
38,"{""1""}","{""1"",""3""}"
39,"{""2""}","{""1"",""4"",""5""}"
40,"{""1""}","{""4""}"
41,"{""3""}","{""1"",""2"",""7""}"
42,"{""2""}","{""4""}"
43,"{""2""}","{""1"",""4""}"
44,"{""1"",""2""}","{""2""}"
45,"{""1""}","{""1"",""4""}"
46,"{""1""}","{""2""}"
47,"{""1"",""2""}","{""1"",""4"",""5""}"
48,"{""1""}","{""1"",""2"",""3"",""4""}"
49,"{""1""}","{""1"",""5"",""7""}"
50,"{""1""}","{""1"",""2"",""3"",""4""}"
51,"{""1""}","{""1""}"
52,"{""1"",""2"",""4""}","{""2""}"
53,"{""2"",""4""}","{""1""}"
54,"{""1""}","{""1"",""4""}"
55,"{""2""}","{""4""}"
56,"{""1"",""4""}","{""2"",""4"",""5"",""7""}"
57,"{""1""}","{""1"",""4""}"
58,"{""1""}","{""1""}"
59,"{""1""}","{""1""}"
60,"{""2"",""4""}","{""2"",""4"",""5""}"
61,"{""1"",""3""}","{""3""}"
62,"{""1"",""3"",""4""}","{""1"",""2""}"
63,"{""1"",""2""}","{""4"",""7""}"
64,"{""2""}","{""1"",""3""}"
65,"{""1"",""2""}","{""1"",""4"",""7""}"
66,"{""2""}","{""1"",""4""}"
67,"{""1""}","{""1""}"
68,"{""1""}","{""1"",""4""}"
69,"{""1"",""2""}","{""2""}"
70,"{""1""}","{""1"",""2"",""4""}"
71,"{""1"",""3""}",NULL
72,"{""1""}","{""1"",""4"",""7""}"
73,"{""1""}","{""1""}"
74,{},"{""1""}"
75,"{""1"",""2"",""4"",""5""}","{""4""}"
76,"{""1"",""2"",""3""}","{""1"",""2"",""3"",""4"",""10""}"
77,"{""1"",""3""}","{""1"",""4"",""7"",""10""}"
78,"{""2""}","{""2""}"
79,"{""1"",""5""}","{""1""}"
80,"{""1""}","{""1""}"
81,"{""1"",""2""}","{""1"",""4"",""5""}"
82,"{""2""}","{""2""}"
83,"{""2""}","{""1""}"
84,"{""2""}","{""2""}"
85,"{""1""}","{""1""}"
86,"{""1"",""2""}","{""4"",""9""}"
87,"{""1"",""3""}","{""2""}"
88,"{""2""}","{""1""}"
89,"{""1"",""2"",""4"",""5""}","{""5"",""7"",""9"",""10""}"
90,"{""1""}","{""2""}"
91,"{""1""}","{""1"",""4""}"
92,"{""1""}","{""1""}"
93,"{""1"",""2"",""4""}","{""1"",""2"",""3""}"
94,"{""2"",""4""}","{""4"",""5""}"
95,"{""4""}","{""2"",""4"",""7""}"
96,"{""1""}","{""1"",""2"",""3""}"
97,"{""1"",""4""}","{""1""}"
98,"{""1"",""2""}","{""1"",""4""}"
99,"{""1"",""4""}","{""1"",""2"",""4"",""7"",""10""}"
