participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,participant.share,participant.control_treatment,participant.private_treatment,participant.journal_treatment,participant.dofus,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.name,session.config.real_world_currency_per_point,session.config.journal,session.config.participation_fee,session.config.full_random,instructions.1.player.id_in_group,instructions.1.player.role,instructions.1.player.payoff,instructions.1.player.confirm_one,instructions.1.group.id_in_subsession,instructions.1.subsession.round_number,science_study.1.player.id_in_group,science_study.1.player.role,science_study.1.player.payoff,science_study.1.player.share,science_study.1.player.check_share,science_study.1.group.id_in_subsession,science_study.1.subsession.round_number,epq.1.player.id_in_group,epq.1.player.role,epq.1.player.payoff,epq.1.player.reflect,epq.1.player.researcher_feedback,epq.1.player.continent,epq.1.player.gender,epq.1.player.age,epq.1.player.risk,epq.1.player.trustworthy,epq.1.player.trusting,epq.1.player.accounting_research,epq.1.player.job_title,epq.1.player.research_area,epq.1.player.research_method,epq.1.player.res_meth_replicates,epq.1.player.acc_replicates,epq.1.player.acc_sub_replicates,epq.1.player.progress,epq.1.player.est_other_post_online,epq.1.player.check_est_other_post_online,epq.1.player.est_you_post_online,epq.1.player.reason_one,epq.1.player.reason_two,epq.1.player.reason_three,epq.1.player.reason_four,epq.1.player.reason_five,epq.1.player.reason_six,epq.1.player.reason_seven,epq.1.player.reason_eight,epq.1.player.reason_nine,epq.1.player.reason_eleven,epq.1.player.reason_twelve,epq.1.player.reason_ten,epq.1.player.reason_ten_text,epq.1.player.likelihood_future_post,epq.1.player.heard_materials,epq.1.player.encourage_others,epq.1.player.acc_favor_public_post,epq.1.player.check_acc_favor_public_post,epq.1.player.heard_prereg,epq.1.player.have_prereg,epq.1.player.first_time_prereg,epq.1.player.trust_prereg,epq.1.player.editors_believe,epq.1.player.check_editors_believe,epq.1.group.id_in_subsession,epq.1.subsession.round_number,end.1.player.id_in_group,end.1.player.role,end.1.player.payoff,end.1.group.id_in_subsession,end.1.subsession.round_number
1,r7lzgflf,6m6ez5,0,1,10,instructions,Welcome,25:28.7,1,,,0,,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,1,,0,0,1,1,1,,0,,,1,1,1,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,1,,0,1,1
2,9pkuuiz5,jbj7pt,0,1,10,instructions,Welcome,28:31.9,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,2,,0,0,1,1,2,,0,,,1,1,2,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,2,,0,1,1
3,yuemcw1u,yu1qcd,0,1,10,instructions,Welcome,32:52.5,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,3,,0,0,1,1,3,,0,,,1,1,3,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,3,,0,1,1
4,ule3tc09,sq5wlx,0,9,10,epq,Thank,33:29.5,1,,,0,50,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,4,,0,1,1,1,4,,0,50,1,1,1,4,,0,"I do qualitative research and the risk of deanonymizing with full data is too high to make my data easily available. But if the person was nice, I might share a coding table or an unpublished appendix for example. (However, I think the spirit of a lot of these reproduction hunters in areas like psychology is rather unkind and perhaps looking to ""take down"" female and non-white researchers, so that's also a consideration especially if the topic is controversial.)",,1,2,4,9,9,8,1,3,6,4,5,4,5,3,20,0,2,0,1,0,1,0,0,0,0,0,0,1,1,"Dysfunctional university website, plus no incentive to do so.",1,4,1,40,0,4,1,,3,50,0,1,1,4,,0,1,1
5,7cccvsab,jsjntc,0,1,10,instructions,Welcome,35:08.7,1,,,0,,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,5,,0,0,1,1,5,,0,,,1,1,5,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,5,,0,1,1
6,nmetq2yx,wc0l2z,0,1,10,instructions,Welcome,36:37.2,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,6,,0,0,1,1,6,,0,,,1,1,6,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,6,,0,1,1
7,au5q84ma,50dgtf,0,1,10,,,37:39.6,1,,,0,,0,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,7,,0,0,1,1,7,,0,,,1,1,7,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,7,,0,1,1
8,t30cq3zi,0jz4x8,0,1,10,instructions,Welcome,38:16.6,1,,,0,,0,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,8,,0,0,1,1,8,,0,,,1,1,8,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,8,,0,1,1
9,i6wucijm,oinv1r,0,1,10,instructions,Welcome,41:59.0,1,,,0,,1,1,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,9,,0,0,1,1,9,,0,,,1,1,9,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,9,,0,1,1
10,djtc9868,1jyqr9,0,0,10,,,,1,,,0,,1,0,0,,r784r3u2,,,,,0,science_study_main_test,1,0,0,0.5,10,,0,0,1,1,10,,0,,,1,1,10,,0,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,0,1,1,10,,0,1,1
