Respondent_type,pid,research_type_qualitative,research_type_quant_experimental,research_type_quant_observational,research_type_quant_other,research_type_theoretical,year_complete_phd,Research type,Career stage,publicly_posting_what_percentage_subfield,publicly_posting_distribution_of_opinion_subfield_1,publicly_posting_distribution_of_opinion_subfield_2,publicly_posting_distribution_of_opinion_subfield_3,publicly_posting_distribution_of_opinion_subfield_4,publicly_posting_distribution_of_opinion_subfield_5,analysis_pre_registration_what_percentage_subfield,analysis_pre_registration_distribution_of_opinion_subfield_1,analysis_pre_registration_distribution_of_opinion_subfield_2,analysis_pre_registration_distribution_of_opinion_subfield_3,analysis_pre_registration_distribution_of_opinion_subfield_4,analysis_pre_registration_distribution_of_opinion_subfield_5,econ_subfield,psych_subfield,polisci_subfield,socio_subfield,analysis_pre_registration_descriptive_subfield_norm,analysis_pre_registration_prescriptive_subfield_norm,publicly_posting_descriptive_subfield_norm,publicly_posting_prescriptive_subfield_norm,descriptive_subfield_norm_across_practices,prescriptive_subfield_norm_across_practices,subfield_norms,subfield,Discipline,publicly_posting_approximately_when_was,posting_study_instruments_approximately_when_was,analysis_pre_registration_approximately_when_was,publicly_posting_approximately_how_many,posting_study_instruments_approximately_how_many,analysis_pre_registration_approximately_how_many,publicly_posting_think_about_last,posting_study_instruments_think_about_last,analysis_pre_registration_think_about_last,publicly_posting_have_you_ever,posting_study_instruments_have_you_ever,analysis_pre_registration_have_you_ever,has_done_posting_study_instruments,has_done_publicly_posting,has_done_analysis_pre_registration,has_done_any_practice_ever,has_done_posting_study_instruments_last_paper,has_done_publicly_posting_last_paper,has_done_analysis_pre_registration_last_paper,has_done_any_practice_ever_last_paper,publicly_posting_distribution_of_opinion_discipline_1,publicly_posting_distribution_of_opinion_discipline_2,publicly_posting_distribution_of_opinion_discipline_3,publicly_posting_distribution_of_opinion_discipline_4,publicly_posting_distribution_of_opinion_discipline_5,analysis_pre_registration_distribution_of_opinion_discipline_1,analysis_pre_registration_distribution_of_opinion_discipline_2,analysis_pre_registration_distribution_of_opinion_discipline_3,analysis_pre_registration_distribution_of_opinion_discipline_4,analysis_pre_registration_distribution_of_opinion_discipline_5,publicly_posting_what_is_your_opinion,publicly_posting_what_percentage_discipline,analysis_pre_registration_what_is_your_opinion,analysis_pre_registration_what_percentage_discipline,posting_study_instruments_what_is_your_opinion,personal_support_open_science,awareness_across_practices,attitude_across_practices,behavior_across_practices,trustworthiness_when_researchers_run_canonical,trustworthiness_how_confident_are,trustworthiness_when_researchers_run_recent,trustworthiness_think_about_table,norms,overall_open_science,trustworthiness_of_literature,descriptive_norm_across_practices,prescriptive_norm_across_practices,publicly_posting_practice_index,posting_study_instruments_practice_index,analysis_pre_registration_practice_index,manipulation_check_nudge,post_treatment_behavioral_intentions_and_attitudes,post_treatment_pre_registration_norms,post_treatment_research_transparency_behavioral_intentions_and_attitudes,post_treatment_research_transparency_norms,publicly_posting_attitude,publicly_posting_awareness,publicly_posting_behavior,publicly_posting_descriptive_norm,publicly_posting_prescriptive_norm,posting_study_instruments_attitude,posting_study_instruments_awareness,posting_study_instruments_behavior,analysis_pre_registration_attitude,analysis_pre_registration_awareness,analysis_pre_registration_behavior,analysis_pre_registration_descriptive_norm,analysis_pre_registration_prescriptive_norm,.dummy,"Overall personal
support",Awareness,Attitude,Behavior,"Personal support
(no norms)",Norms,"Overall
(includes norms)","Trustworthiness of
literature",Canonical research,Influential research,Recent research,"Latest issue of
 discipline's top journals"
grad-25,17373,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,60,0,15,50,25,10,40,10,50,25,15,0,International Relations,International Relations,International Relations,International Relations,0.4,0.36250000000000004,0.6499999999999999,0.575,0.5249999999999999,0.46875,0.49687499999999996,International Relations,Political Science,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,15,50,25,10,15,50,30,5,0,5,70,3,40,3,0.5777777777777777,1,0.7333333333333333,0,3,4,4,4,0.490625,0.4421875,0.6875,0.5249999999999999,0.45625,0.625,0.35,0.3515625,0.875,0.4666666666666667,0.5,0.47,0.5,0.9,1,0,0.6499999999999999,0.575,0.7,1,0,0.6,1,0,0.4,0.3375,1,0.5777777777777777,1,0.7333333333333333,0,0.5777777777777777,0.490625,0.4421875,0.6875,3,4,4,4
grad-25,12867,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Experimental,PhD Student,60,15,25,5,35,20,30,25,35,5,25,10,Comparative Politics,Comparative Politics,Comparative Politics,Comparative Politics,0.3,0.4,0.6499999999999999,0.55,0.475,0.47500000000000003,0.475,Comparative Politics,Political Science,NA,2014,NA,0,10,0,NA,1,NA,1,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,10,15,5,45,25,25,35,5,20,15,5,70,2,30,5,0.7444444444444445,1,0.7333333333333334,0.5,2,2,1,1,0.4890625,0.6637442129629629,0.125,0.475,0.503125,0.6888888888888889,1,0.30234375,0.625,0.03333333333333333,1,0.802,0.75,0.9,1,0.5,0.6499999999999999,0.6000000000000001,1,1,1,0.30000000000000004,1,0,0.3,0.40625,1,0.7444444444444445,1,0.7333333333333334,0.5,0.7444444444444445,0.4890625,0.6637442129629629,0.125,2,2,1,1
grad-25,19222,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Experimental,PhD Student,48,13,17,22,25,23,19,20,22,24,19,15,Neuroscience,Neuroscience,Neuroscience,Neuroscience,0.20500000000000002,0.4675,0.435,0.57,0.32,0.51875,0.41937500000000005,Neuroscience,Psychology,2018,2018,2019,1,1,1,1,1,0,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,13,17,25,25,20,21,23,25,18,13,4,39,4,22,5,0.7962962962962963,1,0.8333333333333334,0.5555555555555556,4,3,2,3,0.41500000000000004,0.592295524691358,0.5,0.32,0.51,0.601574074074074,0.7833333333333333,0.39197916666666666,0.75,0.7366666666666667,0.75,0.904,0.875,0.8,1,0.6666666666666666,0.435,0.5625,0.9,1,0.6666666666666666,0.8,1,0.3333333333333333,0.20500000000000002,0.4575,1,0.7962962962962963,1,0.8333333333333334,0.5555555555555556,0.7962962962962963,0.41500000000000004,0.592295524691358,0.5,4,3,2,3
faculty-75,2419,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Experimental,Published Author,7,10,20,20,25,25,1,40,30,15,10,5,Labor Economics,Labor Economics,Labor Economics,Labor Economics,0.01,0.275,0.060000000000000005,0.5875,0.035,0.43125,0.23312500000000003,Labor Economics,Economics,NA,2019,NA,0,1,0,NA,1,NA,1,0,1,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,15,20,20,25,20,35,25,20,15,5,4,5,3,1,4,0.6407407407407407,1,0.7000000000000001,0.2222222222222222,4,4,4,4,0.23312500000000003,0.4394907407407408,0.75,0.035,0.43125,0.4063888888888889,0.7333333333333334,0.17875,0.625,0.31666666666666665,0.25,0.24,0.125,0.8,1,0,0.060000000000000005,0.5625,0.8,0,0.6666666666666666,0.5,1,0,0.01,0.3,1,0.6407407407407407,1,0.7000000000000001,0.2222222222222222,0.6407407407407407,0.23312500000000003,0.4394907407407408,0.75,4,4,4,4
grad-25,2399,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,3,100,0,0,0,0,6,100,0,0,0,0,Macro Economics,Macro Economics,Macro Economics,Macro Economics,0.05,0,0.03,0,0.04,0,0.02,Macro Economics,Economics,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,94,6,0,0,0,100,0,0,0,0,4,3,4,4,4,0.6,1,0.8,0,4,3,4,4,0.021875000000000002,0.24333333333333335,0.6875,0.04,0.0037500000000000033,0.2125,0.4,0.11750000000000001,0.75,0.6733333333333333,0.75,0.556,0.625,0.8,1,0,0.03,0.007500000000000007,0.8,1,0,0.8,1,0,0.05,0,1,0.6,1,0.8,0,0.6,0.021875000000000002,0.24333333333333335,0.6875,4,3,4,4
grad-25,30859,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,75,5,10,10,25,50,40,0,40,20,20,20,American Politics,American Politics,American Politics,American Politics,0.30000000000000004,0.55,0.65,0.7625,0.47500000000000003,0.65625,0.565625,American Politics,Political Science,NA,NA,NA,0,0,0,NA,NA,NA,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,25,25,25,25,0,50,20,20,10,5,55,4,20,5,0.8111111111111111,1,0.9333333333333333,0.5,2,2,4,3,0.5390625,0.6397569444444444,0.4375,0.47500000000000003,0.6031249999999999,0.7145833333333333,0.75,0.4546875,0.625,0.75,1,0.95,0.75,1,1,0.5,0.65,0.69375,1,1,0.5,0.8,1,0.5,0.30000000000000004,0.5125,1,0.8111111111111111,1,0.9333333333333333,0.5,0.8111111111111111,0.5390625,0.6397569444444444,0.4375,2,2,4,3
grad-25,18871,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,30,6,9,35,16,34,0,4,17,58,11,10,Macro Economics,Macro Economics,Macro Economics,Macro Economics,0.075,0.515,0.275,0.6575,0.17500000000000002,0.5862499999999999,0.380625,Macro Economics,Economics,2018,NA,2015,1,0,0,NA,NA,NA,1,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,6,10,35,22,27,5,14,45,19,17,5,25,3,15,5,0.6888888888888889,1,0.9,0.16666666666666666,4,2,3,2,0.385,0.4703298611111111,0.4375,0.17500000000000002,0.595,0.5820833333333333,0.5,0.32890625,0.875,1,1,0.918,0.375,1,1,0.5,0.275,0.64625,1,1,0,0.7,1,0,0.075,0.54375,1,0.6888888888888889,1,0.9,0.16666666666666666,0.6888888888888889,0.385,0.4703298611111111,0.4375,4,2,3,2
grad-25,20290,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Experimental,PhD Student,26,7,8,12,28,45,67,0,0,6,28,66,Methodology,Methodology,Methodology,Methodology,0.66,0.8999999999999999,0.275,0.74,0.4675,0.82,0.64375,Methodology,Political Science,2019,NA,NA,2,0,0,NA,NA,NA,1,1,1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,56,22,10,9,3,0,0,18,36,46,3,29,3,65,3,0.7555555555555555,1,0.6,0.6666666666666666,3,3,3,3,0.5665625000000001,0.5985185185185186,0.5,0.4675,0.665625,0.5393055555555556,0.55,0.70625,0.5,0.5866666666666667,0.5,0.702,0.5,0.6,1,1,0.275,0.47125,0.6,1,0.5,0.6,1,0.5,0.66,0.86,1,0.7555555555555555,1,0.6,0.6666666666666666,0.7555555555555555,0.5665625000000001,0.5985185185185186,0.5,3,3,3,3
grad-25,3499,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,22,21,14,22,29,14,2,42,32,14,7,5,Macro Economics,Macro Economics,Macro Economics,Macro Economics,0.03,0.25249999999999995,0.22,0.5025,0.125,0.37749999999999995,0.25125,Macro Economics,Economics,2013,NA,NA,0,0,0,NA,NA,NA,1,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21,14,18,34,13,38,26,17,12,7,5,22,2,4,4,0.5888888888888889,1,0.7666666666666667,0,4,4,3,4,0.259375,0.34825810185185185,0.6875,0.125,0.39375,0.4643055555555555,0.4,0.18046875,0.875,0.1,0.25,0.66,0.75,1,1,0,0.22,0.50625,0.8,1,0,0.5,0,0,0.03,0.28125,1,0.5888888888888889,1,0.7666666666666667,0,0.5888888888888889,0.259375,0.34825810185185185,0.6875,4,4,3,4
grad-25,23033,FALSE,FALSE,FALSE,FALSE,FALSE,2020,Quantitative non-experimental,PhD Student,60,0,20,20,60,0,30,0,25,39,36,0,Econometrics,Econometrics,Econometrics,Econometrics,0.24,0.5275,0.44999999999999996,0.6,0.345,0.56375,0.454375,Econometrics,Economics,NA,NA,NA,0,0,0,NA,NA,NA,1,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,31,28,41,0,0,35,37,28,0,5,30,4,18,5,0.7555555555555555,1,0.9333333333333333,0.3333333333333333,3,3,3,3,0.43937499999999996,0.5734953703703703,0.5,0.345,0.53375,0.5986111111111111,0.75,0.371875,0.5,0.6666666666666666,0.5,0.9,0.875,1,1,0.5,0.44999999999999996,0.5625,1,0,0.5,0.8,0,0,0.24,0.505,1,0.7555555555555555,1,0.9333333333333333,0.3333333333333333,0.7555555555555555,0.43937499999999996,0.5734953703703703,0.5,3,3,3,3
