id,exp_pct_share,exp_reflect,pos_enhances_research_quality,pos_helps_other_researchers,pos_enhances_research_visibility,pos_obligated_by_external_parties,pos_other_reasons,neg_data_is_exclusively_licensed,neg_data_is_subject_to_privacy_concerns,neg_data_code_are_valuable_intellectual_property,neg_data_code_are_part_of_ongoing_research,neg_concerns_about_unethical_usage,neg_concerns_that_own_work_is_discredited,neg_career_concerns_related_to_failed_replications_or_corrections,neg_transaction_costs_are_too_high,neg_concerns_about_data_code_quality,neg_other_reasons,dep_on_requesting_researcher,dep_on_tone_of_the_request,dep_on_reason_for_request,dep_other_reasons
4,50,"I do qualitative research and the risk of deanonymizing with full data is too high to make my data easily available. But if the person was nice, I might share a coding table or an unpublished appendix for example. (However, I think the spirit of a lot of these reproduction hunters in areas like psychology is rather unkind and perhaps looking to ""take down"" female and non-white researchers, so that's also a consideration especially if the topic is controversial.)",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0
13,70,"Generally, I'd be inclined to share the data and code, but it depends on a) who the other researcher is (are they credible, do I know them) and b) whether I would be allowed to share the data and c) where allowed to share the data whether I am still working on a follow up paper, in which case I would share the materials once that paper is in the public domain.",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
21,40,"It sounds like they are trying to disprove me. They're on a witch hunt. There's a good chance they are doing this to a lot of people and are, themselves, going to suffer from a file drawer problem. If they re-run 100 people's studies and find that 1 doesn't replicate, that's the one they will publish and descredit and shame the researcher, ignoring the fact that it was likely due to chance, and not noting the 99 who got it right.",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25,95,"Unless the data are proprietary with a nondisclosure agreement, I do not see a reason not to share. For code, it depends on whether I think the person is trying to replicate, or if they just want code because they are too lazy or lack the skill to do it themselves.",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
26,100,I belive in the reproducibility of science experiments. This is how science evolve,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,79,It depends if the data is proprietary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,100,"I think that a study should be reviewed after publication and ""corrected"" if there are arguments for this.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,10,"I am working with qualitative data, mostly from ethnographic research. My main concern is that I so far do not see a way of anonymising or pseudonymising a whole data set comprising interview, observation, and document data. Publicly sharing this data violates privacy and data protection rules.",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
36,81,"I want to help others and sharing data and code can help generate citations to my work. Additionally, refusing to share can carry risks that the requestor will try to stir up controversy around your findings and accuse you of misconduct. However, I would be hesitant to share broadly versus narrowly (i.e., to only the requestor) to avoid helping researchers who will try to undercut my work or use my data and code to create competing research papers that will hurt my publication chances on follow-up studies. I also do not want to help researchers who have previously harmed me and my research.",0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
41,90,"Code can be easily shared. With the data, which might be proprietary, can be more problematic. Also, I would have to be certain that the person making the request seems ok, that there is a genuine interest in improving something, and not just laziness on gathering the data or coding, or some more obscure purpose. That is, I would expect a sound letter from this person explaining what they plan to do with whatever they are requesting.",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0
47,78,"If I have put in hours and hours of effort hand collecting data, I do not believe I am under any responsibility to give away the competitive advantage I developed from all that effort. If people have to give away their hand-collected data, fewer people will do it.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
